sensor_id,neighbor_id,distance_km
fec52a19-9148-4350-a1b4-ae0da05ee199,ece1058a-ecab-4736-872f-790145aaadfe,7.226008
ece1058a-ecab-4736-872f-790145aaadfe,fec52a19-9148-4350-a1b4-ae0da05ee199,7.226008
fec52a19-9148-4350-a1b4-ae0da05ee199,40f081a6-4095-43f7-bffb-64e2af8c026e,2.367190
40f081a6-4095-43f7-bffb-64e2af8c026e,fec52a19-9148-4350-a1b4-ae0da05ee199,2.367190
fec52a19-9148-4350-a1b4-ae0da05ee199,7b316592-8036-41e2-b8dc-b06b6a9afd54,1.628984
7b316592-8036-41e2-b8dc-b06b6a9afd54,fec52a19-9148-4350-a1b4-ae0da05ee199,1.628984
fec52a19-9148-4350-a1b4-ae0da05ee199,692c454c-a1ad-41fa-b3ca-aa1cb7d55d30,1.008305
692c454c-a1ad-41fa-b3ca-aa1cb7d55d30,fec52a19-9148-4350-a1b4-ae0da05ee199,1.008305
be427cee-4c3a-4aa2-a1ce-9795a74533be,c3f3da9b-9fd3-4037-94d3-598d655e6be9,1.319959
c3f3da9b-9fd3-4037-94d3-598d655e6be9,be427cee-4c3a-4aa2-a1ce-9795a74533be,1.319959
be427cee-4c3a-4aa2-a1ce-9795a74533be,d7060523-b163-4cc3-bc94-970dac72a38a,0.024161
d7060523-b163-4cc3-bc94-970dac72a38a,be427cee-4c3a-4aa2-a1ce-9795a74533be,0.024161
be427cee-4c3a-4aa2-a1ce-9795a74533be,87f82783-853b-417d-8964-b5cf11e44873,0.123904
87f82783-853b-417d-8964-b5cf11e44873,be427cee-4c3a-4aa2-a1ce-9795a74533be,0.123904
be427cee-4c3a-4aa2-a1ce-9795a74533be,e20e9778-a020-4b86-932a-b7ab6a713a00,0.035542
e20e9778-a020-4b86-932a-b7ab6a713a00,be427cee-4c3a-4aa2-a1ce-9795a74533be,0.035542
be427cee-4c3a-4aa2-a1ce-9795a74533be,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,3.359106
2819ecbb-5de3-4092-aa1d-4ba3a8c40add,be427cee-4c3a-4aa2-a1ce-9795a74533be,3.359106
be427cee-4c3a-4aa2-a1ce-9795a74533be,a9a2083f-f086-4fae-bdae-355b391f436b,2.320516
a9a2083f-f086-4fae-bdae-355b391f436b,be427cee-4c3a-4aa2-a1ce-9795a74533be,2.320516
be427cee-4c3a-4aa2-a1ce-9795a74533be,a17013e7-8d1d-4b0d-8e2f-e0881dbca3ac,2.214807
a17013e7-8d1d-4b0d-8e2f-e0881dbca3ac,be427cee-4c3a-4aa2-a1ce-9795a74533be,2.214807
be427cee-4c3a-4aa2-a1ce-9795a74533be,d851c0b9-990e-41db-9c53-529f88524cf9,2.768676
d851c0b9-990e-41db-9c53-529f88524cf9,be427cee-4c3a-4aa2-a1ce-9795a74533be,2.768676
be427cee-4c3a-4aa2-a1ce-9795a74533be,30dab8a6-ff63-43ce-9a3b-99f1f3f7054d,3.056623
30dab8a6-ff63-43ce-9a3b-99f1f3f7054d,be427cee-4c3a-4aa2-a1ce-9795a74533be,3.056623
