timestamp,sensorId,humidity,pressure,temperature,wind_speed
2025-12-23 12:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,91,932.2,6.4,3.3
2025-12-23 13:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,90,931.8,6.4,4.2
2025-12-23 14:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,92,931.3,6.3,2.4
2025-12-23 15:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,96,931.8,5.8,3.5
2025-12-23 16:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,97,931.3,5.4,2.6
2025-12-23 17:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,95,931.3,5.2,1.8
2025-12-23 18:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,97,931.6,4.9,3.4
2025-12-23 19:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,98,931.7,4.7,2.8
2025-12-23 20:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,95,931.8,4.7,2.3
2025-12-23 21:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,98,932.3,4.5,3.4
2025-12-23 22:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,100,931.4,4.2,4.4
2025-12-23 23:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,96,930.7,4.3,3.0
2025-12-24 00:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,100,930.6,4.3,4.3
2025-12-24 01:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,99,930.8,4.3,4.1
2025-12-24 02:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,98,930.2,4.5,3.1
2025-12-24 03:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,100,929.5,4.1,5.4
2025-12-24 04:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,100,929.2,4.1,4.0
2025-12-24 05:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,98,929.5,4.2,3.3
2025-12-24 06:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,100,929.4,3.9,3.9
2025-12-24 07:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,98,929.9,4.2,2.9
2025-12-24 08:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,94,930.2,4.9,2.4
2025-12-24 09:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,99,930.7,5.2,3.6
2025-12-24 10:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,97,930.4,5.8,4.2
2025-12-24 11:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,95,929.9,6.2,5.9
2025-12-24 12:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,94,930.0,6.5,6.9
2025-12-24 13:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,95,930.3,6.5,6.1
2025-12-24 14:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,96,929.8,6.5,6.2
2025-12-24 15:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,96,930.4,6.2,3.3
2025-12-24 16:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,97,930.3,5.9,2.1
2025-12-24 17:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,98,930.5,5.4,2.3
2025-12-24 18:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,96,930.9,5.3,1.9
2025-12-24 19:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,94,931.2,5.1,2.3
2025-12-24 20:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,90,931.8,5.0,1.3
2025-12-24 21:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,89,931.7,4.7,0.5
2025-12-24 22:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,86,931.8,4.7,1.1
2025-12-24 23:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,87,931.9,4.6,0.0
2025-12-25 00:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,91,932.1,4.7,0.7
2025-12-25 01:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,90,932.3,4.6,1.6
2025-12-25 02:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,89,931.8,4.3,3.2
2025-12-25 03:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,88,932.3,4.3,2.5
2025-12-25 04:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,90,932.7,4.3,3.1
2025-12-25 05:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,92,933.7,4.3,3.7
2025-12-25 06:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,94,933.8,3.9,3.9
2025-12-25 07:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,94,934.7,4.1,3.7
2025-12-25 08:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,95,935.3,4.4,2.6
2025-12-25 09:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,92,936.6,4.7,3.6
2025-12-25 10:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,86,936.1,5.2,4.3
2025-12-25 11:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,83,936.1,5.5,5.7
2025-12-25 12:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,83,935.6,5.7,7.2
2025-12-25 13:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,82,935.8,5.6,7.6
2025-12-25 14:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,84,935.8,5.4,6.6
2025-12-25 15:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,88,936.1,4.8,6.2
2025-12-25 16:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,91,936.3,4.3,5.8
2025-12-25 17:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,93,936.8,4.0,4.3
2025-12-25 18:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,92,937.8,3.6,3.6
2025-12-25 19:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,93,937.8,3.5,3.6
2025-12-25 20:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,94,938.1,3.3,3.3
2025-12-25 21:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,93,938.2,3.2,3.3
2025-12-25 22:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,92,938.4,3.0,2.5
2025-12-25 23:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,90,938.3,3.0,2.5
2025-12-26 00:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,93,938.4,2.7,3.0
2025-12-26 01:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,91,938.6,2.8,2.8
2025-12-26 02:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,89,938.4,2.8,1.8
2025-12-26 03:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,90,938.5,2.6,1.9
2025-12-26 04:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,92,938.4,2.5,1.5
2025-12-26 05:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,92,938.7,2.3,1.5
2025-12-26 06:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,92,938.9,2.1,1.3
2025-12-26 07:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,94,939.0,2.2,1.8
2025-12-26 08:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,92,939.2,2.5,2.6
2025-12-26 09:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,94,940.0,2.6,4.2
2025-12-26 10:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,94,939.2,3.0,5.2
2025-12-26 11:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,93,938.6,3.3,3.2
2025-12-26 12:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,93,938.0,3.4,4.0
2025-12-26 13:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,93,937.4,3.6,3.6
2025-12-26 14:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,90,937.5,3.6,4.2
2025-12-26 15:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,89,937.8,3.2,3.9
2025-12-26 16:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,90,937.6,3.0,2.6
2025-12-26 17:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,94,937.2,2.2,2.3
2025-12-26 18:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,94,937.3,2.0,4.6
2025-12-26 19:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,91,937.5,2.0,4.9
2025-12-26 20:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,91,937.8,2.3,4.1
2025-12-26 21:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,91,938.5,2.2,5.5
2025-12-26 22:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,91,938.2,1.7,4.5
2025-12-26 23:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,91,938.1,1.2,4.2
2025-12-27 00:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,90,938.0,0.9,6.0
2025-12-27 01:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,90,937.7,0.5,5.1
2025-12-27 02:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,91,937.3,0.2,4.6
2025-12-27 03:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,89,937.2,0.2,4.5
2025-12-27 04:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,90,937.2,-0.0,3.5
2025-12-27 05:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,93,937.2,-0.6,4.4
2025-12-27 06:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,85,937.8,-0.9,6.5
2025-12-27 07:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,83,938.2,-0.6,5.2
2025-12-27 08:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,78,938.6,0.7,1.5
2025-12-27 09:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,68,938.8,2.4,2.0
2025-12-27 10:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,70,937.9,2.9,3.7
2025-12-27 11:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,68,937.3,3.1,5.1
2025-12-27 12:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,66,936.9,3.5,4.2
2025-12-27 13:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,65,936.7,3.8,3.2
2025-12-27 14:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,66,936.6,3.4,2.6
2025-12-27 15:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,63,936.0,3.0,1.8
2025-12-27 16:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,75,936.1,1.9,4.0
2025-12-27 17:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,80,935.9,1.2,5.9
2025-12-27 18:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,69,935.8,0.5,6.0
2025-12-27 19:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,70,935.2,0.1,6.5
2025-12-27 20:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,71,935.2,0.1,5.6
2025-12-27 21:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,70,934.8,-0.2,4.8
2025-12-27 22:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,68,934.4,0.1,3.2
2025-12-27 23:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,64,933.5,0.5,1.8
2025-12-28 00:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,70,933.0,0.0,2.5
2025-12-28 01:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,72,931.9,0.1,2.7
2025-12-28 02:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,72,930.9,0.3,2.5
2025-12-28 03:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,79,930.6,-0.8,3.3
2025-12-28 04:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,79,929.8,-1.3,3.3
2025-12-28 05:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,74,928.8,-1.0,2.3
2025-12-28 06:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,85,928.2,-1.3,3.9
2025-12-28 07:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,83,928.2,-0.7,3.8
2025-12-28 08:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,81,928.6,1.2,4.4
2025-12-28 09:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,70,929.8,3.7,7.0
2025-12-28 10:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,64,929.5,4.6,6.5
2025-12-28 11:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,61,929.6,5.0,6.1
2025-12-28 12:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,53,928.6,6.6,8.9
2025-12-28 13:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,62,929.5,5.7,11.6
2025-12-28 14:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,59,930.0,3.9,9.8
2025-12-28 15:00:00+00:00,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,56,930.9,2.5,7.1
